name,category,subsidiary of / alias of,stakeholdergroup,nationality,email domain names,Membership Organization,Wiki Page
Universidad Tecnológica Nacional,Research Institution,,Academia,Argentina,,,
Attorney-General's Department  Australian Government,,,Government,Australia,,ETSI,
COMMUNICATIONS ALLIANCE LTD,Association,,Business,Australia,,OTHER,
Softel Systems Pty Ltd,Cybersecurity,,Business,Australia,softelsystems.com.au,ETSI,
Telstra Corporation Limited,Telecommunications Provider,,Business,Australia,team.telstra.com,ETSI,
Apple Gesellschaft m.b.H.,Consumer hardware and software vendor,Apple,Business,Austria,,ETSI,
Austrian Federal Ministry of Agriculture  Regions and Tourism,,,Government,Austria,,ETSI,
Fabasoft AG,Software Provider,,Business,Austria,,ETSI,
Kapsch TrafficCom AG,"Software Provider, Hardware Provider",,Business,Austria,,ETSI,
Qualcomm Austria RFFE GmbH,Chipmaker,Qualcomm Incorporated,Business,Austria,,ETSI,
T-Mobile AUSTRIA GmbH,Telecommunications Provider,Deutsche Telekom,Business,Austria,t-mobile.at,ETSI,
Tait Europe Limited,"Software Provider, Consulting",,Business,Austria,,ETSI,
BELTELECOM,Telecommunications Provider,,Business,Belarus,,,
5G Infrastructure Association,Association,,Business,Belgium,,ETSI,
A.S.T.R.I.D. SA,Telecommunications Provider,,Business,Belgium,,ETSI,
AT&T Global Network Services Belgium SPRL,Telecommunications Provider,AT&T,Business ,Belgium,,ETSI,
BIPT - Belgian Institute for Postal services & Telecommunications,Research Institution,,Academia,Belgium,,ETSI,
Broadcast Networks Europe,Telecommunications Provider,,Business,Belgium,,ETSI,
Cisco Systems Belgium,Networking equipment vendor,Cisco,Business,Belgium,,ETSI,
EC - European Commission,,,Government,Belgium,,ETSI,
ESOA,Infrastructure Company,,Business,Belgium,,OTHER,
Eurofins Digital Testing Belgium NV,Testing and Certification,,Business,Belgium,,ETSI,
European Utilities Telecom Council (EUTC),Association,,Business,Belgium,,ETSI,
Intel Belgium SA/NV,Chipmaker,Intel,Business,Belgium,,ETSI,
InterDigital Belgium LLC,Technology research and development company,InterDigital,Business,Belgium,,ETSI,
Nokia Bell N.V.,Networking equipment vendor,Nokia Corporation,Business,Belgium,nokia-bell-labs.com,ETSI,
Proximus Plc,"Software Provider, Hardware Provider",,Business,Belgium,"proximus.com , proximus.net",ETSI,
Public Safety Communication Europe Forum,,Public Safety Canada,Government,Belgium,,ETSI,
Public Safety Communication Europe Forum,,Public Safety Canada,Government,Belgium,,OTHER,
Tessares S.A.,Software Provider,,Business,Belgium,,ETSI,
Botswana Communications Regulatory Authority,Regulatory Body,,Government,Botswana,,ETSI,
Agência Nacional de Telecomunicações (ANATEL)  ,,,Government,Brazil,,,
NIC.br,Internet Registry,,Technical Community,Brazil,nic.br,,
VMware Bulgaria EOOD,Software provider,VMware,Business,Bulgaria,,ETSI,
Bell Mobility,Telecommunications Provider,,Business,Canada,bell.ca,ETSI,
Innovation  Science and Economic Development Canada,,,Government,Canada,,ETSI,
Kepler Communications,Telecommuncations Provider,,Business,Canada,,ETSI,
Nortel Networks,Networking equipment vendor,,Business,Canada,,,
Public Safety Canada,,,Government,Canada,,ETSI,
RadiSys Inc.,"Software Provider, Hardware Provider",,Business,Canada,,ETSI,
Redline Communications Inc.,Networking Service Provider,,Business,Canada,,ATIS,
Rogers Communications Canada Inc.,Networking equipment vendor,,Business,Canada,rogers.com rci.rogers.com,ETSI,
Sandvine Incorporated,"Software Provider, Consulting",,Business,Canada,,ETSI,
Telus Corporation,Telecommunications Provider,,Business,Canada,telus.com,ATIS,
VoiceAge Corporation,"Software Provider, Technology research and development company",,Business,Canada,,ETSI,
"Ministère des Postes et Télécommunications, chargé de la Promotion des Nouvelles Technologies d'Information et de Communication",,,Government,Central African Republic,,,
5G Deterministic Networking Alliance,Association,,Business,China,,OTHER,
5G Slicing Association,Association,,Business,China,,OTHER,
Academy of Broadcasting Planning  NRTA,Research Institution,,Academia,China,,CCSA,
Academy of Broadcasting Science,Research Institution,,Academia,China,,CCSA,
Alibaba (China) Group.  Ltd.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",,Business,China,alibaba-inc.com,CCSA,
Apple Computer Trading (Shanghai) Co. Ltd.,Consumer hardware and software vendor,Apple,Business,China,,CCSA,
Apple Purchase Operation management,Consumer hardware and software vendor,Apple,Business,China,,CCSA,
Apple R&D,Consumer hardware and software vendor,Apple,Business,China,,CCSA,
AsiaInfo Technologies (China)  Inc.,Software Provider,AsiaInfo Technologies Inc,Business ,China,,CCSA,
AsiaInfo Technologies Inc,Software Provider,,Business ,China,,ETSI,
ASR Microelectronics Technology Co.  Ltd,Chipmaker,,Business ,China,,CCSA,
ASUSTEK COMPUTER (SHANGHAI) CO. LTD.,Consumer hardware and software vendor,,Business ,China,,CCSA,
Baicells Technologies Co. Ltd,Network Service Provider,,Business,China,,CCSA,
Beijing Commsat Technology Development Co. Ltd.,,,Business,China,,CCSA,
Beijing Jiaotong University,Research Institution,,Academia,China,,CCSA,
Beijing Lenovo Software Ltd.,Consumer hardware and software vendor,Lenovo (Beijing) Ltd,Business,China,,CCSA,
Beijing OPPO Communications corp.  ltd,Consumer hardware and software vendor,,Business,China,oppo.com,CCSA,https://en.wikipedia.org/wiki/Oppo
BEIJING SAMSUNG TELECOM R&D CENTER,Consumer hardware and software vendor,Samsung Electronics Ind. Co.  Ltd.,Business,China,,CCSA,
Beijing Starpoint Technology Company Limited,Technology research and development company,,Business,China,,CCSA,
Beijing Telecom Planning & Designing Institute Co. LTD.,Technology research and development company,,Business,China,,CCSA,
Beijing University of Posts and Telecommunications,Research Institution,,Academia,China,bupt.edu.cn,CCSA,
Beijing Xiaomi Electronics,Consumer hardware and software vendor,Xiaomi Technology,Business,China,xiaomi.com,CCSA,
Beijing Xiaomi Mobile Software Co.  Ltd.,Consumer hardware and software vendor,Xiaomi Technology,Business,China,xiaomi.com,CCSA,
Beijing Xiaomi Software Technology,Consumer hardware and software vendor,Xiaomi Technology,Business,China,xiaomi.com,CCSA,
BMW Brilliance Automotive Ltd.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",,Business,China,,CCSA,https://en.wikipedia.org/wiki/BMW_Brilliance
BTL Inc.,Technology research and development company,,Business,China,,ETSI,
CAICT,Research Institution,,Academia,China,caict.ac.cn,CCSA,
CALTTA TECHNOLOGIES CO.  LTD.,Software provider,ZTE,Business,China,,CCSA,
CertusNet Inc.,Technology research and development company,,Business,China,,ETSI,
CETC Network & Communications Group Co.  Ltd.,,,Business,China,,CCSA,
Chengdu OPPO Mobile Communications corp.  ltd,Consumer hardware and software vendor ,Beijing OPPO Communications corp.  ltd,Business,China,oppo.com,CCSA,
CHENGDU TD TECH LTD.,Networking equipment vendor,TD Tech Ltd,Business,China,,CCSA,
China Academy of Telecommunication Technology - (Datang Telecom Technology and Industry Group),Research Institution,Datang Telecom Group,Academia,China,,CCSA,
China Academy of Telecommunications Technology (CATT),Research Institution,,Academia,China,catt.cn,ETSI,
China Broadcasting Network Corporation Ltd.,Telecommunications Provider,,Business,China,,CCSA,
China Communications Standards Association,Regional Standards Body,,Technical Community,China,,CCSA,
China Electric Power Research Institute,Research Institution,,Academia,China,,CCSA,
China Information Communication Technologies Group,Networking equipment vendor,Datang Telecom Group,Business,China,,ETSI,
China Information Communication Technologies Group Corporation,Networking equipment vendor,Datang Telecom Group,Business,China,,CCSA,
CHINA INFORMATION TECHNOLOGY DESIGNING&CONSULTING INSTITUTE CO. LTD.,Consulting,,Business,China,,CCSA,
China Mobile (Hangzhou) Information Technology Co.  Ltd.,Telecommunications Provider,China Mobile International Limited,Business,China,,CCSA,
China Mobile (Suzhou) Software Technology Co.  Ltd.,Telecommunications Provider,China Mobile International Limited,Business,China,,CCSA,
China Mobile Communications Corporation (CMCC),Telecommunications Provider,China Mobile International Limited,Business,China,,CCSA,
China Mobile E-Commerce Co.,Telecommunications Provider,China Mobile International Limited,Business,China,,CCSA,
China Mobile Group Design Institute Co.  Ltd,Telecommunications Provider,China Mobile International Limited,Business,China,,CCSA,
China Mobile Group Device Co.  Ltd,Telecommunications Provider,China Mobile International Limited,Business,China,,CCSA,
China Mobile International Limited,Telecommunications Provider,,Business,China,chinamobile.com,CCSA,
China Mobile M2M Company Ltd.,Telecommunications Provider,China Mobile International Limited,Business,China,,CCSA,
CHINA SECURITY & PROTECTION INDUSTRY ASSOCIATION,Association,,Business,China,,CCSA,
China Society of Automotive Engineers,Association,,Business,China,,OTHER,
China Southern Power Grid Co.  Ltd.,Infrastructure Company,,Business,China,,CCSA,
China Telecom,Telecommunications Provider,,Business,China,"chinatelecom.cn, ctbri.com.cn",CCSA,
China Telecommunications Corporation,Telecommunications Provider,China Telecom,Business,China,,ETSI,
China Telecomunication Corporation,Telecommunications Provider,China Telecom,Business,China,,CCSA,
China Unicom,Telecommunications Provider,,Business,China,chinaunicom.cn,CCSA,
China Unicom Digital Technology Co.  Ltd.,Telecommunications Provider,China Unicom,Business,China,,CCSA,
China Unicom Global Limited,Telecommunications Provider,China Unicom,Business,China,,CCSA,
Chongqing University,Research Institution,,Academia,China,,CCSA,
Chongqing University of Posts and Telecommunications,Research Institution,,Academia,China,,CCSA,
CNNIC,Internet Registry,,Government,China,"cnnic.net.cn, cnnic.cn",,
Communication University of China,Research Institution,,Academia,China,,CCSA,
Datang Linktester Technology Co.  Ltd.,Network Service Provider,Datang Telecom Group,Business,China,datangmobile.cn,CCSA,
Datang Mobile Communications Equipment Co.  Ltd,Network Service Provider,Datang Telecom Group,Business,China,datangmobile.cn,CCSA,
Datang Telecom Group,Network Service Provider,,Business,China,,,
DFH Satellite Co.  LTD,Satellite Communications Provider,"China Spacesat Co., Ltd.",Business,China,,CCSA,
Dongguan OPPO Precision Electronic Corp.  Ltd.,Consumer hardware and software vendor,Beijing OPPO Communications corp.  ltd,Business,China,oppo.com,CCSA,
ESSEN INNOVATION COMPANY LIMITED,Technology research and development company,,Business,China,,CCSA,
FG Innovation Company Limited,Technology research and development company,,Business,China,,CCSA,
Fiberhome Technologies Group,"Software Provider, Hardware Provider",,Business,China,,ATIS,
FiberHome Technologies Group ,Networking equipment provider,,Business,China,,,
Fudan University,Research Institution,,Academia,China,,CCSA,
Futurewei,Networking equipment vendor,Huawei,Business,China,futurewei.com,,
GOHIGH DATA NETWORKS TECHNOLOGY CO.  LTD,Network Service Provider,Datang Telecom Group,Business,China,,CCSA,
Guangdong Communications and Networks Institute,Research Institution,,Academia,China,,CCSA,
GUANGDONG GENIUS TECHNOLOGY CO.  LTD.,Hardware Provider,,Business,China,,CCSA,
Guangdong OPPO Mobile Telecommunications Corp.  Ltd,Consumer hardware and software vendor,Beijing OPPO Communications corp.  ltd,Business,China,oppo.com,CCSA,
Guangdong OPPO Mobile Telecommunications Corp. Ltd.,Consumer hardware and software vendor,Beijing OPPO Communications corp.  ltd,Business,China,oppo.com,ETSI,
HiSilicon Technologies Co.Ltd,Chipmaker,,Business,China,,CCSA,
Honor Device Co.  ,Consumer hardware and software vendor,Honor Device Co.  Ltd,Business,China,,CCSA,
Honor Device Co.  Ltd,Consumer hardware and software vendor,,Business,China,,ETSI,
Huawei Device Co. Ltd,Networking equipment vendor,,Business,China,"huawei.com, huawei.com.cn",CCSA,
HuaWei Technologies Co. Ltd,Networking equipment vendor,Huawei Device Co. Ltd,Business,China,,CCSA,
Huawei Technologies Co. Ltd.,Networking equipment vendor,Huawei Device Co. Ltd,Business,China,,ETSI,
Huazhong University of Science & Technology ,Research Institution,,Academia,China,,,
Huizhou Speed Wireless Technology Co.  Ltd.,Networking equipment vendor,,Business,China,,CCSA,
Hytera Communications Corporation Limited,Networking equipment vendor,,Business,China,,CCSA,
Industrial Internet Innovation Center (Shanghai) Co. Ltd.,Technology research and development company,,Business,China,,CCSA,
Information Science Academy of China Electronics Technology Group Corporation,Research Institution,China Electronics Technology Group Corporation,Academia,China,,,
Inspur Software Technology Co.   Ltd.,Cloud Provider,,Business,China,,CCSA,
Intel China Ltd.,Chipmaker,Intel,Business,China,,CCSA,
IPLOOK Networks Co.  Ltd.,Networking Service Provider,,Business,China,,CCSA,
Jetflow Technologies Co.  Ltd,Technology research and development company,,Business,China,,CCSA,
Lenovo (Beijing)  Information Technology Co.  Ltd.,"Hardware Provider, Consumer hardware and software vendor",Lenovo (Beijing) Ltd,Business,China,lenovo.com,CCSA,
Lenovo (Beijing) Ltd,"Hardware Provider, Consumer hardware and software vendor",,Business,China,,CCSA,
